title,genre,overview,content
White Heat,"Action, Crime, Drama",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,action crime drama a psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist
The Third Man,"Film-Noir, Mystery, Thriller","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",filmnoir mystery thriller pulp novelist holly martins travels to shadowy postwar vienna only to find himself investigating the mysterious death of an old friend harry lime
The Red Shoes,"Drama, Music, Romance",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,drama music romance a young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina
The Shop Around the Corner,"Comedy, Drama, Romance","Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",comedy drama romance two employees at a gift shop can barely stand each other without realizing that they are falling in love through the post as each others anonymous pen pal
Rebecca,"Drama, Mystery, Romance",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,drama mystery romance a selfconscious woman juggles adjusting to her new role as an aristocrats wife and avoiding being intimidated by his first wifes spectral presence
Mr. Smith Goes to Washington,"Comedy, Drama","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",comedy drama a naive man is appointed to fill a vacancy in the united states senate his plans promptly collide with political corruption but he doesnt back down
Gone with the Wind,"Drama, History, Romance",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,drama history romance a manipulative woman and a roguish man conduct a turbulent romance during the american civil war and reconstruction periods
La Grande Illusion,"Drama, War","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",drama war during wwi two french soldiers are captured and imprisoned in a german pow camp several escape attempts follow until they are eventually sent to a seemingly inescapable fortress
It Happened One Night,"Comedy, Romance","A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",comedy romance a renegade reporter and a crazy young heiress meet on a bus heading for new york and end up stuck with each other when the bus leaves them behind at one of the stops
La passion de Jeanne d'Arc,"Biography, Drama, History","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",biography drama history in  jeanne darc is placed on trial on charges of heresy the ecclesiastical jurists attempt to force jeanne to recant her claims of holy visions
The Circus,"Comedy, Romance",The Tramp finds work and the girl of his dreams at a circus.,comedy romance the tramp finds work and the girl of his dreams at a circus
Sunrise: A Song of Two Humans,"Drama, Romance",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,drama romance an allegorical tale about a man fighting the good and evil within him both sides are made flesh  one a sophisticated woman he is attracted to and the other his wife
The General,"Action, Adventure, Comedy","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",action adventure comedy when union spies steal an engineers beloved locomotive he pursues it singlehandedly and straight through enemy lines
